what,kind,bundleId,bundleVersion,description,time
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1769396379480
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1769396382123
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1769396385182
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1769396386864
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1769396387039
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1769396403301
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1769396408141
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1769396408863
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1769396413156
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1769396417316
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1769396420106
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1769396420438
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1769396422002
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1769396422318
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=1, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1769396424207
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1769396427397
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1769396454886
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1769396470018
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1769396473680
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1769396642517
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1769396648966
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1769396673200
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1769396686939
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1769396688238
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1769396688500
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1769396689849
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1769396690088
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=1, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1769396691914
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1769396694905
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1769396709646
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1769396735344
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1769396741559
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1769396801169
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1769396801185
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1769396801201
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1769396808832
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1769396810933
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1769396813634
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1769396820019
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1769396820083
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1769396823581
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1769396832447
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1769396834056
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1769396834392
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1769396836015
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1769396836238
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1769396836745
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=1, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1769396838017
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1769396845635
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1769396847377
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1769396855910
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1769396860286
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1769396883534
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1769396895591
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1769397027644
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1769397030235
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1769397036115
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1769397036943
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1769397036951
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1769397037991
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1769397085752
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1769397090436
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1769397092064
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1769397116971
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1769397134083
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1769397135643
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1769397135881
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=1, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1769397137701
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1769397140748
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1769397229483
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1769397540126
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1769397544139
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1769397548442
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1769397549975
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1769397550443
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1769397551115
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1769397555596
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1769397556322
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1769397596012
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1769397596903
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1769397602495
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1769397614110
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1769397614235
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1769397615902
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1769397616075
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1769397617523
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1769397617989
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1769397621167
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1769397622222
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1769397623099
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1769397624344
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1769397624947
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1769397625714
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1769397673939
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1769397675949
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1769397676287
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1769397676866
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1769397679186
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1769397685894
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1769397689671
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1769397691075
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1769397693699
